x,max GTE
10.000000,0.035124
11.000000,0.026745
12.000000,0.020691
13.000000,0.016236
14.000000,0.012905
15.000000,0.010376
16.000000,0.008430
17.000000,0.006915
18.000000,0.005722
19.000000,0.004773
20.000000,0.004011
21.000000,0.003394
22.000000,0.002890
23.000000,0.002475
24.000000,0.002132
25.000000,0.001845
26.000000,0.001605
27.000000,0.001402
28.000000,0.001230
29.000000,0.001084
30.000000,0.000958
31.000000,0.000851
32.000000,0.000757
33.000000,0.000676
34.000000,0.000606
35.000000,0.000544
36.000000,0.000490
37.000000,0.000443
38.000000,0.000401
39.000000,0.000364
40.000000,0.000331
41.000000,0.000302
42.000000,0.000276
43.000000,0.000252
44.000000,0.000231
45.000000,0.000212
46.000000,0.000195
47.000000,0.000180
48.000000,0.000166
49.000000,0.000154
50.000000,0.000142
51.000000,0.000132
52.000000,0.000123
53.000000,0.000114
54.000000,0.000106
55.000000,0.000099
56.000000,0.000092
57.000000,0.000086
58.000000,0.000081
59.000000,0.000076
60.000000,0.000071
61.000000,0.000066
62.000000,0.000062
63.000000,0.000059
64.000000,0.000055
65.000000,0.000052
66.000000,0.000049
67.000000,0.000046
68.000000,0.000044
69.000000,0.000041
70.000000,0.000039
71.000000,0.000037
72.000000,0.000035
73.000000,0.000033
74.000000,0.000031
75.000000,0.000030
76.000000,0.000028
77.000000,0.000027
78.000000,0.000026
79.000000,0.000024
80.000000,0.000023
81.000000,0.000022
82.000000,0.000021
83.000000,0.000020
84.000000,0.000019
85.000000,0.000018
86.000000,0.000018
87.000000,0.000017
88.000000,0.000016
89.000000,0.000015
90.000000,0.000015
91.000000,0.000014
92.000000,0.000013
93.000000,0.000013
94.000000,0.000012
95.000000,0.000012
96.000000,0.000011
97.000000,0.000011
98.000000,0.000011
99.000000,0.000010
100.000000,0.000010
